                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.64631,                0.65301,                 1.2728,                0.87071,                      1,                0.93281,                0.76965,                0.83617,                0.52282,                 1.8151,             0.00036057,             0.00036057,             0.00036057
                     92,                 0.6089,                0.59482,                 1.2292,                0.86526,                      1,                0.93281,                0.78072,                0.80777,                 0.5518,                 1.7026,             0.00035664,             0.00035664,             0.00035664
                     93,                0.72359,                0.62209,                 1.3689,                0.81913,                      1,                0.93281,                 0.7857,                0.75752,                0.56165,                 1.6018,             0.00035272,             0.00035272,             0.00035272
                     94,                0.66032,                0.67609,                 1.2714,                0.81328,                      1,                0.93281,                0.78846,                0.71669,                0.55559,                 1.5474,             0.00034879,             0.00034879,             0.00034879
                     95,                0.73316,                0.68347,                 1.3736,                0.88091,                      1,                0.93281,                0.79838,                0.68647,                0.54522,                 1.5293,             0.00034486,             0.00034486,             0.00034486
                     96,                0.69704,                0.68387,                  1.328,                0.88637,                      1,                0.93281,                0.78637,                0.71283,                0.56076,                 1.5583,             0.00034094,             0.00034094,             0.00034094
                     97,                0.67793,                0.62747,                 1.3142,                0.88077,                      1,                0.93281,                0.79483,                 0.7059,                0.50524,                 1.5361,             0.00033701,             0.00033701,             0.00033701
                     98,                0.61839,                0.64433,                 1.2526,                 0.8697,                      1,                0.93281,                0.77228,                0.73233,                0.50952,                 1.5569,             0.00033308,             0.00033308,             0.00033308
                     99,                0.60372,                0.57862,                 1.2118,                0.87038,                      1,                0.93281,                0.78852,                0.73934,                0.52151,                 1.6139,             0.00032915,             0.00032915,             0.00032915
                    100,                0.60448,                0.60895,                 1.2216,                0.86681,                      1,                0.93281,                0.78569,                0.75087,                0.52634,                 1.6601,             0.00032523,             0.00032523,             0.00032523
                    101,                0.62554,                0.62011,                 1.2624,                0.89623,                      1,                0.93281,                0.78761,                0.76135,                0.50441,                 1.6757,              0.0003213,              0.0003213,              0.0003213
